displayName,orgId,LocationID,type,calling,calendar,hotdeskingStatus
FLX-OF-610,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-OF-619,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-OF-636,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-OF-637,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-CU-652,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-CU-653,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-CU-654,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-CU-655,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-CU-658,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-CU-662,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-CU-669,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-CU-670,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-CU-672,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-CU-673,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-CU-674,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-CU-675,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-CU-676,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-CU-678,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-CU-679,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE
FLX-CU-680,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,desk,"{""type"": ""none""}","{""type"": ""none""}",TRUE